"Time","P95"
2021-06-29 16:42:55,1700
2021-06-29 16:43:00,1700
2021-06-29 16:43:05,1700
2021-06-29 16:43:10,1700
2021-06-29 16:43:15,1600
2021-06-29 16:43:20,1700
2021-06-29 16:43:25,1900
2021-06-29 16:43:30,2000
2021-06-29 16:43:35,2000
2021-06-29 16:43:40,1900
2021-06-29 16:43:45,1700
2021-06-29 16:43:50,1700
2021-06-29 16:43:55,1600
2021-06-29 16:44:00,1600
2021-06-29 16:44:05,1600
2021-06-29 16:44:10,1600
2021-06-29 16:44:15,1700
2021-06-29 16:44:20,1600
2021-06-29 16:44:25,1600
2021-06-29 16:44:30,1900
2021-06-29 16:44:35,1900
2021-06-29 16:44:40,1900
2021-06-29 16:44:45,1900
2021-06-29 16:44:50,2000
2021-06-29 16:44:55,2000
2021-06-29 16:45:00,2100
2021-06-29 16:45:05,2100
2021-06-29 16:45:10,2100
2021-06-29 16:45:15,2100
2021-06-29 16:45:20,1900
2021-06-29 16:45:25,1800
2021-06-29 16:45:30,2000
2021-06-29 16:45:35,2200
2021-06-29 16:45:40,2200
2021-06-29 16:45:45,2200
2021-06-29 16:45:50,2400
2021-06-29 16:45:55,2400
2021-06-29 16:46:00,2300
2021-06-29 16:46:05,2300
2021-06-29 16:46:10,2500
2021-06-29 16:46:15,2500
2021-06-29 16:46:20,2600
2021-06-29 16:46:25,2500
2021-06-29 16:46:30,2400
2021-06-29 16:46:35,2400
2021-06-29 16:46:40,2600
2021-06-29 16:46:45,2900
2021-06-29 16:46:50,2900
2021-06-29 16:46:55,310
2021-06-29 16:47:00,390
2021-06-29 16:47:05,400
2021-06-29 16:47:10,210
2021-06-29 16:47:15,240
2021-06-29 16:47:20,400
2021-06-29 16:47:25,360
2021-06-29 16:47:30,260
2021-06-29 16:47:35,260
2021-06-29 16:47:40,270
2021-06-29 16:47:45,340
2021-06-29 16:47:50,320
2021-06-29 16:47:55,270
2021-06-29 16:48:00,270
2021-06-29 16:48:05,400
2021-06-29 16:48:10,370
2021-06-29 16:48:15,270
2021-06-29 16:48:20,260
2021-06-29 16:48:25,280
2021-06-29 16:48:30,370
2021-06-29 16:48:35,1200
2021-06-29 16:48:40,270
2021-06-29 16:48:45,220
2021-06-29 16:48:50,350
2021-06-29 16:48:55,420
2021-06-29 16:49:00,270
2021-06-29 16:49:05,190
2021-06-29 16:49:10,240
2021-06-29 16:49:15,290
2021-06-29 16:49:20,270
2021-06-29 16:49:25,390
2021-06-29 16:49:30,460
2021-06-29 16:49:35,530
2021-06-29 16:49:40,500
2021-06-29 16:49:45,380
2021-06-29 16:49:50,400
2021-06-29 16:49:55,390
2021-06-29 16:50:00,350
2021-06-29 16:50:05,330
2021-06-29 16:50:10,300
2021-06-29 16:50:15,400
2021-06-29 16:50:20,450
2021-06-29 16:50:25,460
2021-06-29 16:50:30,460
2021-06-29 16:50:35,500
2021-06-29 16:50:40,500
2021-06-29 16:50:45,700
2021-06-29 16:50:50,750
2021-06-29 16:50:55,710
2021-06-29 16:51:00,770
2021-06-29 16:51:05,790
2021-06-29 16:51:10,810
2021-06-29 16:51:15,830
2021-06-29 16:51:20,840
2021-06-29 16:51:25,810
2021-06-29 16:51:30,800
2021-06-29 16:51:35,800
2021-06-29 16:51:40,780
2021-06-29 16:51:45,900
2021-06-29 16:51:50,890
2021-06-29 16:51:55,780
2021-06-29 16:52:00,950
2021-06-29 16:52:05,960
2021-06-29 16:52:10,860
2021-06-29 16:52:15,940
2021-06-29 16:52:20,930
2021-06-29 16:52:25,1100
2021-06-29 16:52:30,1200
2021-06-29 16:52:35,1200
2021-06-29 16:52:40,1200
2021-06-29 16:52:45,1200
2021-06-29 16:52:50,1200
2021-06-29 16:52:55,1100
2021-06-29 16:53:00,1100
2021-06-29 16:53:05,1200
2021-06-29 16:53:10,1200
2021-06-29 16:53:15,1000
2021-06-29 16:53:20,910
2021-06-29 16:53:25,1000
2021-06-29 16:53:30,1000
2021-06-29 16:53:35,1100
2021-06-29 16:53:40,1100
2021-06-29 16:53:45,1100
2021-06-29 16:53:50,1100
2021-06-29 16:53:55,1100
2021-06-29 16:54:00,1300
2021-06-29 16:54:05,1400
2021-06-29 16:54:10,1400
2021-06-29 16:54:15,1300
2021-06-29 16:54:20,1300
2021-06-29 16:54:25,450
2021-06-29 16:54:30,290
2021-06-29 16:54:35,150
2021-06-29 16:54:40,130
2021-06-29 16:54:45,150
2021-06-29 16:54:50,170
2021-06-29 16:54:55,150
2021-06-29 16:55:00,150
2021-06-29 16:55:05,160
2021-06-29 16:55:10,170
2021-06-29 16:55:15,170
2021-06-29 16:55:20,180
2021-06-29 16:55:25,190
2021-06-29 16:55:30,110
2021-06-29 16:55:35,160
2021-06-29 16:55:40,230
2021-06-29 16:55:45,200
2021-06-29 16:55:50,100
2021-06-29 16:55:55,170
2021-06-29 16:56:00,170
2021-06-29 16:56:05,150
2021-06-29 16:56:10,170
2021-06-29 16:56:15,160
2021-06-29 16:56:20,110
2021-06-29 16:56:25,200
2021-06-29 16:56:30,200
2021-06-29 16:56:35,110
2021-06-29 16:56:40,120
2021-06-29 16:56:45,180
2021-06-29 16:56:50,130
2021-06-29 16:56:55,99
2021-06-29 16:57:00,110
2021-06-29 16:57:05,110
2021-06-29 16:57:10,70
2021-06-29 16:57:15,100
2021-06-29 16:57:20,110
2021-06-29 16:57:25,100
2021-06-29 16:57:30,88
2021-06-29 16:57:35,69
2021-06-29 16:57:40,78
2021-06-29 16:57:45,77
2021-06-29 16:57:50,83
2021-06-29 16:57:55,77
2021-06-29 16:58:00,66
2021-06-29 16:58:05,77
2021-06-29 16:58:10,110
2021-06-29 16:58:15,120
2021-06-29 16:58:20,120
2021-06-29 16:58:25,77
2021-06-29 16:58:30,83
2021-06-29 16:58:35,81
2021-06-29 16:58:40,77
2021-06-29 16:58:45,83
2021-06-29 16:58:50,95
2021-06-29 16:58:55,96
2021-06-29 16:59:00,94
2021-06-29 16:59:05,96
2021-06-29 16:59:10,86
2021-06-29 16:59:15,76
2021-06-29 16:59:20,61
2021-06-29 16:59:25,110
2021-06-29 16:59:30,110
2021-06-29 16:59:35,77
2021-06-29 16:59:40,76
2021-06-29 16:59:45,59
2021-06-29 16:59:50,68
2021-06-29 16:59:55,75
2021-06-29 17:00:00,55
2021-06-29 17:00:05,63
2021-06-29 17:00:10,54
2021-06-29 17:00:15,51
2021-06-29 17:00:20,110
2021-06-29 17:00:25,93
2021-06-29 17:00:30,70
2021-06-29 17:00:35,71
2021-06-29 17:00:40,68
2021-06-29 17:00:45,73
2021-06-29 17:00:50,70
2021-06-29 17:00:55,72
2021-06-29 17:01:00,71
2021-06-29 17:01:05,55
2021-06-29 17:01:10,61
2021-06-29 17:01:15,84
2021-06-29 17:01:20,110
2021-06-29 17:01:25,95
2021-06-29 17:01:30,84
2021-06-29 17:01:35,69
2021-06-29 17:01:40,84
2021-06-29 17:01:45,100
2021-06-29 17:01:50,360
2021-06-29 17:01:55,370
2021-06-29 17:02:00,170
2021-06-29 17:02:05,61
2021-06-29 17:02:10,72
2021-06-29 17:02:15,100
2021-06-29 17:02:20,100
2021-06-29 17:02:25,76
2021-06-29 17:02:30,92
2021-06-29 17:02:35,63
2021-06-29 17:02:40,66
2021-06-29 17:02:45,55
2021-06-29 17:02:50,38
2021-06-29 17:02:55,56
2021-06-29 17:03:00,46
2021-06-29 17:03:05,43
2021-06-29 17:03:10,40
2021-06-29 17:03:15,100
2021-06-29 17:03:20,100
2021-06-29 17:03:25,54
2021-06-29 17:03:30,55
2021-06-29 17:03:35,62
2021-06-29 17:03:40,66
2021-06-29 17:03:45,39
2021-06-29 17:03:50,47
2021-06-29 17:03:55,57
2021-06-29 17:04:00,44
2021-06-29 17:04:05,51
2021-06-29 17:04:10,110
2021-06-29 17:04:15,110
2021-06-29 17:04:20,94
2021-06-29 17:04:25,39
2021-06-29 17:04:30,35
2021-06-29 17:04:35,29
2021-06-29 17:04:40,32
2021-06-29 17:04:45,28
2021-06-29 17:04:50,29
2021-06-29 17:04:55,27
2021-06-29 17:05:00,26
2021-06-29 17:05:05,24
2021-06-29 17:05:10,67
2021-06-29 17:05:15,72
2021-06-29 17:05:20,27
2021-06-29 17:05:25,29
2021-06-29 17:05:30,28
2021-06-29 17:05:35,22
2021-06-29 17:05:40,25
2021-06-29 17:05:45,27
2021-06-29 17:05:50,28
2021-06-29 17:05:55,29
2021-06-29 17:06:00,49
2021-06-29 17:06:05,39
2021-06-29 17:06:10,27
2021-06-29 17:06:15,29
2021-06-29 17:06:20,22
2021-06-29 17:06:25,26
2021-06-29 17:06:30,24
2021-06-29 17:06:35,22
2021-06-29 17:06:40,28
2021-06-29 17:06:45,31
2021-06-29 17:06:50,25
2021-06-29 17:06:55,58
2021-06-29 17:07:00,58
2021-06-29 17:07:05,22
2021-06-29 17:07:10,23
2021-06-29 17:07:15,24
2021-06-29 17:07:20,27
2021-06-29 17:07:25,34
2021-06-29 17:07:30,29
2021-06-29 17:07:35,25
2021-06-29 17:07:40,27
2021-06-29 17:07:45,24
2021-06-29 17:07:50,24
2021-06-29 17:07:55,48
2021-06-29 17:08:00,58
2021-06-29 17:08:05,26
2021-06-29 17:08:10,26
2021-06-29 17:08:15,23
2021-06-29 17:08:20,23
2021-06-29 17:08:25,24
2021-06-29 17:08:30,26
2021-06-29 17:08:35,25
2021-06-29 17:08:40,27
2021-06-29 17:08:45,28
2021-06-29 17:08:50,71
2021-06-29 17:08:55,71
2021-06-29 17:09:00,28
2021-06-29 17:09:05,21
2021-06-29 17:09:10,25
2021-06-29 17:09:15,28
2021-06-29 17:09:20,25
2021-06-29 17:09:25,29
2021-06-29 17:09:30,25
2021-06-29 17:09:35,20
2021-06-29 17:09:40,30
2021-06-29 17:09:45,57
2021-06-29 17:09:50,55
2021-06-29 17:09:55,22
2021-06-29 17:10:00,19
2021-06-29 17:10:05,22
2021-06-29 17:10:10,32
2021-06-29 17:10:15,34
2021-06-29 17:10:20,23
2021-06-29 17:10:25,29
2021-06-29 17:10:30,30
2021-06-29 17:10:35,30
2021-06-29 17:10:40,62
2021-06-29 17:10:45,68
2021-06-29 17:10:50,25
2021-06-29 17:10:55,25
2021-06-29 17:11:00,25
2021-06-29 17:11:05,24
2021-06-29 17:11:10,21
2021-06-29 17:11:15,26
2021-06-29 17:11:20,23
2021-06-29 17:11:25,22
2021-06-29 17:11:30,24
2021-06-29 17:11:35,23
2021-06-29 17:11:40,37
2021-06-29 17:11:45,64
2021-06-29 17:11:50,27
2021-06-29 17:11:55,25
2021-06-29 17:12:00,21
2021-06-29 17:12:05,20
2021-06-29 17:12:10,24
2021-06-29 17:12:15,24
2021-06-29 17:12:20,21
2021-06-29 17:12:25,24
2021-06-29 17:12:30,24
2021-06-29 17:12:35,21
2021-06-29 17:12:40,39
2021-06-29 17:12:45,41
2021-06-29 17:12:50,21
2021-06-29 17:12:55,27
2021-06-29 17:13:00,23
2021-06-29 17:13:05,21
2021-06-29 17:13:10,23
2021-06-29 17:13:15,21
2021-06-29 17:13:20,17
2021-06-29 17:13:25,20
2021-06-29 17:13:30,24
2021-06-29 17:13:35,26
2021-06-29 17:13:40,20
2021-06-29 17:13:45,65
2021-06-29 17:13:50,59
2021-06-29 17:13:55,25
2021-06-29 17:14:00,21
2021-06-29 17:14:05,18
2021-06-29 17:14:10,20
2021-06-29 17:14:15,21
2021-06-29 17:14:20,18
2021-06-29 17:14:25,21
2021-06-29 17:14:30,22
2021-06-29 17:14:35,20
2021-06-29 17:14:40,22
2021-06-29 17:14:45,32
2021-06-29 17:14:50,37
2021-06-29 17:14:55,21
2021-06-29 17:15:00,22
2021-06-29 17:15:05,25
2021-06-29 17:15:10,23
2021-06-29 17:15:15,22
2021-06-29 17:15:20,23
2021-06-29 17:15:25,20
2021-06-29 17:15:30,23
2021-06-29 17:15:35,20
2021-06-29 17:15:40,19
2021-06-29 17:15:45,18
2021-06-29 17:15:50,17
2021-06-29 17:15:55,19
2021-06-29 17:16:00,20
2021-06-29 17:16:05,18
2021-06-29 17:16:10,26
2021-06-29 17:16:15,40
2021-06-29 17:16:20,18
2021-06-29 17:16:25,19
2021-06-29 17:16:30,19
2021-06-29 17:16:35,18
2021-06-29 17:16:40,18
2021-06-29 17:16:45,18
2021-06-29 17:16:50,19
2021-06-29 17:16:55,17
2021-06-29 17:17:00,17
2021-06-29 17:17:05,17
2021-06-29 17:17:10,27
2021-06-29 17:17:15,29
2021-06-29 17:17:20,20
2021-06-29 17:17:25,18
2021-06-29 17:17:30,19
2021-06-29 17:17:35,18
2021-06-29 17:17:40,18
2021-06-29 17:17:45,20
2021-06-29 17:17:50,22
2021-06-29 17:17:55,20
2021-06-29 17:18:00,17
2021-06-29 17:18:05,18
2021-06-29 17:18:10,23
2021-06-29 17:18:15,23
2021-06-29 17:18:20,20
2021-06-29 17:18:25,20
2021-06-29 17:18:30,18
2021-06-29 17:18:35,17
2021-06-29 17:18:40,21
2021-06-29 17:18:45,23
2021-06-29 17:18:50,41
2021-06-29 17:18:55,42
2021-06-29 17:19:00,19
2021-06-29 17:19:05,20
2021-06-29 17:19:10,21
2021-06-29 17:19:15,18
2021-06-29 17:19:20,17
2021-06-29 17:19:25,18
2021-06-29 17:19:30,18
2021-06-29 17:19:35,19
2021-06-29 17:19:40,20
2021-06-29 17:19:45,19
2021-06-29 17:19:50,27
2021-06-29 17:19:55,25
2021-06-29 17:20:00,14
2021-06-29 17:20:05,16
2021-06-29 17:20:10,17
2021-06-29 17:20:15,19
2021-06-29 17:20:20,17
2021-06-29 17:20:25,18
2021-06-29 17:20:30,19
2021-06-29 17:20:35,17
2021-06-29 17:20:40,14
2021-06-29 17:20:45,16
2021-06-29 17:20:50,17
2021-06-29 17:20:55,18
2021-06-29 17:21:00,16
2021-06-29 17:21:05,16
2021-06-29 17:21:10,16
2021-06-29 17:21:15,16
2021-06-29 17:21:20,16
2021-06-29 17:21:25,16
2021-06-29 17:21:30,18
2021-06-29 17:21:35,18
2021-06-29 17:21:40,15
2021-06-29 17:21:45,38
2021-06-29 17:21:50,38
2021-06-29 17:21:55,17
